Table 3.1E. Current-Cost Net Stock of Private Equipment by Industry
Table 3.1E. Current-Cost Net Stock of Private Equipment by Industry
"Last Revised on: September 26, 2025"
Line,,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
33,"        Textile mills and textile product mills",8.0,8.7,9.5,10.5,11.5,12.8,13.7,13.9,14.1,14.5,15.3,16.0,16.8,17.7,18.5,19.8
34,"        Apparel and leather and allied products",2.0,2.1,2.3,2.5,2.8,3.1,3.3,3.3,3.3,3.4,3.6,3.8,4.0,4.2,4.4,4.7
35,"        Paper products",16.5,18.7,21.5,24.5,28.4,33.3,36.0,37.7,38.3,39.5,42.2,44.6,46.6,50.2,55.0,61.6
36,"        Printing and related support activities",5.0,5.5,6.2,7.1,8.1,9.4,10.4,11.0,11.5,12.2,13.4,14.7,15.8,16.9,17.9,19.4
37,"        Petroleum and coal products",13.0,15.1,17.1,19.2,22.8,26.9,30.3,33.2,34.8,35.3,36.4,37.9,39.0,39.8,40.8,42.8
38,"        Chemical products",24.3,27.9,32.6,36.9,41.7,47.6,51.9,54.7,54.5,55.3,57.0,58.8,61.0,65.2,70.2,76.5
39,"        Plastics and rubber products",8.2,9.0,9.8,11.0,12.5,13.9,14.8,15.1,14.9,15.7,17.4,18.9,20.4,21.8,23.8,26.1
40,Wholesale trade,26.9,30.3,34.3,41.8,49.6,57.8,66.5,75.5,83.2,93.5,100.5,108.2,112.8,118.9,122.8,125.3
41,"    Durable goods",21.0,23.7,26.9,32.8,39.1,45.4,52.2,59.5,65.6,73.7,79.4,85.6,89.6,94.9,98.4,100.9
42,"    Nondurable goods",5.9,6.6,7.4,9.0,10.6,12.4,14.3,16.0,17.6,19.7,21.0,22.7,23.2,24.0,24.4,24.3
43,Retail trade,19.2,21.4,24.1,27.6,32.3,36.9,40.4,43.4,47.0,51.9,56.3,61.6,66.5,72.7,76.7,80.9
44,"    Motor vehicle and parts dealers",4.4,4.9,5.5,6.2,7.3,8.4,9.1,9.7,10.4,11.2,12.1,13.1,14.0,15.1,15.8,16.7
45,"    Food and beverage stores",3.4,3.8,4.3,5.0,5.8,6.5,7.1,7.6,8.2,9.0,9.8,10.7,11.6,12.7,13.4,14.1
46,"    General merchandise stores",2.5,2.8,3.2,3.7,4.4,5.1,5.6,6.2,6.9,7.8,8.6,9.6,10.5,11.6,12.4,13.1
47,"    Other retail",8.9,9.9,11.1,12.6,14.8,16.9,18.5,19.9,21.5,23.8,25.8,28.2,30.5,33.3,35.2,37.0
48,Transportation and warehousing,92.8,101.8,113.2,128.2,151.5,173.3,192.4,197.6,201.9,208.1,212.2,214.6,215.9,227.1,234.3,238.6
49,"    Air transportation",18.4,20.3,22.5,25.9,33.6,39.5,44.8,47.0,48.7,50.3,52.1,53.5,53.4,56.0,58.4,61.8
50,"    Railroad transportation",18.5,19.6,21.2,23.9,28.1,33.4,36.0,35.7,34.9,34.1,33.2,31.7,30.5,31.3,32.4,32.3
51,"    Water transportation",12.1,13.6,15.6,17.5,20.3,23.3,27.2,27.5,28.1,28.6,28.8,29.2,28.6,29.0,29.0,28.8
52,"    Truck transportation",10.9,12.3,14.4,17.4,20.2,21.4,23.1,24.3,25.7,28.7,30.5,31.6,33.7,36.6,37.6,37.1
53,"    Transit and ground passenger transportation",2.7,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.0,5.3,5.4,5.7,5.9,6.7,6.9,6.9
54,"    Pipeline transportation",1.0,1.1,1.2,1.5,2.2,3.3,4.5,5.3,5.8,6.1,6.4,6.6,6.8,7.2,7.6,7.9
55,"    Other transportation and support activities 2",28.3,31.0,34.0,37.1,41.5,46.5,50.6,51.2,51.7,52.8,53.6,53.9,54.2,57.3,59.2,60.2
56,"    Warehousing and storage",0.8,1.0,1.1,1.4,1.6,1.7,1.8,1.9,2.0,2.2,2.3,2.5,2.8,3.1,3.3,3.4
57,Information,67.0,72.0,79.0,90.1,99.5,118.3,132.3,144.4,153.0,163.2,170.8,181.1,190.9,200.8,211.4,221.0
58,"    Publishing industries (includes software)",4.5,5.0,5.5,6.3,7.2,8.5,9.5,10.3,11.1,12.1,13.6,15.3,16.7,18.1,19.4,21.2
59,"    Motion picture and sound recording industries",1.6,1.8,1.9,2.2,2.4,2.7,2.8,2.9,3.0,3.3,3.7,4.2,4.7,5.5,6.3,6.9
60,"    Broadcasting and telecommunications",59.8,64.1,70.3,80.0,88.1,105.2,118.1,129.2,137.0,145.6,151.1,159.0,166.5,174.0,182.2,189.0
61,"    Information and data processing services",1.0,1.2,1.4,1.6,1.7,1.9,2.0,2.0,2.0,2.2,2.3,2.6,2.9,3.3,3.6,3.9
62,Finance and insurance,22.0,25.8,29.8,36.1,44.7,54.9,65.4,73.7,81.9,93.1,105.7,122.2,136.8,155.7,174.2,189.5
63,"    Federal Reserve banks",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5
64,"    Credit intermediation and related activities",18.3,21.9,25.6,31.1,38.4,46.9,55.3,61.2,67.2,75.5,85.2,98.2,109.4,124.2,139.0,151.3
65,"        Depository credit intermediation",11.2,13.6,16.0,19.7,24.8,30.9,37.6,42.7,45.6,49.4,54.2,60.3,65.8,73.7,80.5,85.7
66,"        Other intermediation",1.6,1.8,2.2,2.5,2.9,3.4,3.6,3.7,4.0,4.4,4.9,5.6,6.2,7.1,8.1,8.9
67,"        Nondepository credit intermediation",5.6,6.5,7.5,8.9,10.7,12.7,14.1,14.7,17.6,21.7,26.2,32.3,37.3,43.4,50.4,56.7
68,"    Securities, commodity contracts, and investments",1.2,1.3,1.3,1.5,2.1,2.7,3.7,4.9,6.0,7.5,8.6,10.3,12.3,14.4,15.9,16.7
69,"    Insurance carriers and related activities",2.2,2.4,2.7,3.2,4.0,4.9,6.0,7.1,8.2,9.6,11.2,13.2,14.5,16.3,18.6,20.8
70,"        Insurance carriers",1.5,1.6,1.8,2.3,2.9,3.7,4.7,5.8,6.9,8.3,9.8,11.7,13.1,14.7,16.8,18.8
71,"        Insurance agencies and brokers and related services",0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.6,1.8,2.0
72,"    Funds, trusts, and other financial vehicles",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
73,Real estate and rental and leasing,39.2,41.8,45.8,51.1,57.2,62.9,68.0,71.9,74.6,79.6,87.0,94.9,102.0,111.4,118.6,123.4
74,"    Real estate",21.2,21.7,22.3,24.0,26.9,30.3,33.8,36.9,39.1,42.5,47.8,52.6,56.3,61.7,66.3,69.3
75,"    Rental and leasing services and lessors of intangible assets 3",18.0,20.2,23.5,27.1,30.3,32.7,34.3,35.1,35.5,37.1,39.3,42.3,45.7,49.7,52.3,54.2
76,"Professional, scientific, and technical services",6.4,7.1,8.3,9.8,11.3,13.1,14.5,16.3,17.8,20.2,22.3,25.3,27.6,30.6,33.3,35.4
77,"    Legal services",0.8,0.8,0.9,1.0,1.2,1.5,1.7,2.0,2.3,2.7,3.1,3.7,3.9,4.3,4.5,4.9
78,"    Computer systems design and related services",0.6,0.6,0.7,0.9,1.1,1.2,1.4,1.6,1.8,2.2,2.6,3.2,3.6,4.0,4.2,4.4
79,"    Miscellaneous professional, scientific, and technical services 4",5.1,5.6,6.7,7.9,9.1,10.4,11.4,12.7,13.7,15.3,16.6,18.5,20.1,22.4,24.6,26.1
80,Management of companies and enterprises 5,6.3,7.2,8.3,9.8,11.7,14.1,16.4,18.7,20.2,22.5,24.6,27.0,29.6,32.7,35.1,36.6
81,Administrative and waste management services,4.5,5.0,5.7,6.7,8.0,9.3,10.2,10.9,11.6,13.4,15.3,18.1,20.8,23.7,26.9,29.3
82,"    Administrative and support services",1.7,1.9,2.1,2.5,3.0,3.5,4.0,4.3,4.8,5.8,6.7,8.0,9.2,10.7,12.4,13.9
83,"    Waste management and remediation services",2.8,3.1,3.6,4.2,5.0,5.8,6.3,6.6,6.8,7.6,8.6,10.0,11.7,13.0,14.5,15.4
84,Educational services,3.0,3.3,3.7,4.1,4.6,5.2,5.7,6.0,6.1,6.4,6.5,6.9,7.2,7.7,8.1,8.5
85,Health and social assistance,20.4,23.3,26.7,30.9,35.6,41.3,47.0,52.2,57.9,63.7,68.4,75.4,82.6,90.4,99.1,109.3
86,"    Ambulatory health care services",8.5,9.6,11.1,13.0,15.0,17.4,20.0,22.7,25.8,28.8,31.1,34.6,38.1,42.0,46.1,51.0
87,"    Hospitals",10.7,12.3,14.0,16.2,18.5,21.3,24.0,26.2,28.6,31.1,33.2,36.5,39.8,43.4,47.4,52.2
88,"    Nursing and residential care facilities",0.5,0.6,0.7,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.9,3.2,3.6
89,"    Social assistance",0.6,0.7,0.8,1.0,1.2,1.4,1.6,1.6,1.7,1.7,1.8,1.9,2.0,2.2,2.4,2.5
90,"Arts, entertainment, and recreation",6.2,6.7,7.3,8.5,9.4,10.7,11.5,11.3,10.9,10.7,10.5,10.3,10.3,10.6,11.1,11.5
91,"    Performing arts, spectator sports, museums, and related activities",2.7,2.9,3.1,3.6,3.9,4.3,4.5,4.4,4.2,4.1,4.0,3.9,3.9,3.9,4.0,4.1
92,"    Amusements, gambling, and recreation industries",3.4,3.8,4.2,4.9,5.6,6.4,7.0,6.9,6.7,6.6,6.5,6.4,6.5,6.7,7.0,7.3
93,Accommodation and food services,16.2,17.5,19.4,21.6,25.1,28.9,31.9,33.5,35.5,38.4,41.3,44.4,47.5,51.7,55.5,59.1
94,"    Accommodation",2.9,3.0,3.3,3.8,4.7,5.8,6.9,7.4,8.0,8.8,9.4,10.0,10.4,11.2,12.4,14.1
95,"    Food services and drinking places",13.3,14.5,16.1,17.9,20.4,23.0,25.0,26.1,27.5,29.6,31.9,34.4,37.2,40.5,43.2,45.0
96,"Other services, except government",15.4,16.7,18.4,21.1,24.2,27.0,28.4,28.8,28.7,29.2,30.1,31.4,32.7,34.5,35.7,36.8

Legend/Footnotes
1. NAICS crop and animal production.
2. Consists of scenic and sightseeing transportation; transportation support activities; and couriers and messengers.
"3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights."
"4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related services; specialized design services; management, scientific, and technical consulting services; scientific research and development services; advertising and related services; and other professional scientific, and technical services."
5. Consists of bank and other holding companies.
Note. Estimates in this table are based on the North American Industry Classification System (NAICS).
