Table 3.1ESI. Current-Cost Net Stock of Private Fixed Assets by Industry
Table 3.1ESI. Current-Cost Net Stock of Private Fixed Assets by Industry
"Last Revised on: September 26, 2025"
Line,,1985,1986,1987,1988,1989,1990
89,"    Social assistance",9.5,10.2,11.0,11.8,12.7,13.4
90,"Arts, entertainment, and recreation",57.7,60.5,63.9,67.5,71.5,75.6
91,"    Performing arts, spectator sports, museums, and related activities",30.8,32.7,34.9,37.0,39.5,42.3
92,"    Amusements, gambling, and recreation industries",26.9,27.9,29.0,30.5,32.1,33.3
93,Accommodation and food services,152.5,163.1,173.0,184.0,196.2,208.4
94,"    Accommodation",85.0,90.2,94.6,99.2,105.4,112.8
95,"    Food services and drinking places",67.4,72.9,78.4,84.8,90.7,95.6
96,"Other services, except government",162.3,171.8,181.6,192.0,202.3,211.2

Legend/Footnotes
1. NAICS crop and animal production.
2. Consists of scenic and sightseeing transportation; transportation support activities; and couriers and messengers.
"3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights."
"4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related services; specialized design services; management, scientific, and technical consulting services; scientific research and development services; advertising and related services; and other professional scientific, and technical services."
5. Consists of bank and other holding companies.
Note. Estimates in this table are based on the North American Industry Classification System (NAICS).
