Table 3.7E. Investment in Private Equipment by Industry
Table 3.7E. Investment in Private Equipment by Industry
"Last Revised on: September 26, 2025"
Line,,1985,1986,1987,1988,1989,1990
60,"    Broadcasting and telecommunications",22.3,25.0,25.8,29.0,29.2,29.8
61,"    Information and data processing services",0.6,0.8,0.9,1.0,1.0,1.0
62,Finance and insurance,28.5,33.1,34.9,39.4,43.2,40.1
63,"    Federal Reserve banks",0.1,0.1,0.1,0.1,0.1,0.1
64,"    Credit intermediation and related activities",21.4,25.0,25.8,29.5,32.0,29.7
65,"        Depository credit intermediation",11.8,12.9,13.8,16.0,15.9,14.2
66,"        Other intermediation",1.2,1.5,1.5,1.7,2.0,1.9
67,"        Nondepository credit intermediation",8.3,10.6,10.5,11.9,14.1,13.6
68,"    Securities, commodity contracts, and investments",3.9,4.5,5.6,6.0,6.6,5.5
69,"    Insurance carriers and related activities",3.1,3.5,3.3,3.7,4.5,4.7
70,"        Insurance carriers",2.8,3.2,3.1,3.3,4.1,4.2
71,"        Insurance agencies and brokers and related services",0.3,0.3,0.3,0.4,0.4,0.5
72,"    Funds, trusts, and other financial vehicles",0.0,0.1,0.1,0.1,0.1,0.0
73,Real estate and rental and leasing,20.8,21.4,22.6,25.2,25.5,22.9
74,"    Real estate",12.3,11.9,11.6,13.4,13.7,12.7
75,"    Rental and leasing services and lessors of intangible assets 3",8.5,9.5,11.0,11.8,11.8,10.2
76,"Professional, scientific, and technical services",5.9,6.9,7.2,8.0,8.7,8.2
77,"    Legal services",0.9,1.0,0.9,1.0,1.0,1.2
78,"    Computer systems design and related services",1.0,1.2,1.3,1.4,1.4,1.3
79,"    Miscellaneous professional, scientific, and technical services 4",4.0,4.7,4.9,5.7,6.3,5.7
80,Management of companies and enterprises 5,5.3,5.8,6.5,6.9,7.0,6.2
81,Administrative and waste management services,4.1,5.1,5.7,5.8,6.7,6.3
82,"    Administrative and support services",2.0,2.5,2.7,3.1,3.6,3.7
83,"    Waste management and remediation services",2.1,2.6,3.0,2.7,3.1,2.6
84,Educational services,1.1,1.2,1.4,1.5,1.6,1.6
85,Health and social assistance,14.7,16.0,18.0,20.3,22.4,24.4
86,"    Ambulatory health care services",6.9,7.6,8.5,9.7,10.6,11.5
87,"    Hospitals",7.0,7.6,8.5,9.5,10.6,11.6
88,"    Nursing and residential care facilities",0.5,0.5,0.5,0.7,0.8,0.9
89,"    Social assistance",0.3,0.4,0.4,0.4,0.5,0.5
90,"Arts, entertainment, and recreation",1.2,1.2,1.3,1.6,1.8,1.8
91,"    Performing arts, spectator sports, museums, and related activities",0.4,0.4,0.4,0.5,0.6,0.6
92,"    Amusements, gambling, and recreation industries",0.8,0.8,0.9,1.1,1.2,1.2
93,Accommodation and food services,7.9,8.6,9.0,9.5,10.4,10.4
94,"    Accommodation",1.9,1.8,1.7,2.1,2.7,3.3
95,"    Food services and drinking places",6.1,6.7,7.3,7.4,7.7,7.1
96,"Other services, except government",4.2,4.6,4.8,5.3,5.1,4.9

Legend/Footnotes
1. NAICS crop and animal production.
2. Consists of scenic and sightseeing transportation; transportation support activities; and couriers and messengers.
"3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights."
"4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related services; specialized design services; management, scientific, and technical consulting services; scientific research and development services; advertising and related services; and other professional scientific, and technical services."
5. Consists of bank and other holding companies.
Note. Estimates in this table are based on the North American Industry Classification System (NAICS).
