Table 3.7ESI. Investment in Private Fixed Assets by Industry
Table 3.7ESI. Investment in Private Fixed Assets by Industry
"Last Revised on: September 26, 2025"
Line,,1985,1986,1987,1988,1989,1990
58,"    Publishing industries (includes software)",6.7,7.1,8.5,9.4,10.8,11.4
59,"    Motion picture and sound recording industries",10.2,12.0,12.5,13.2,15.0,15.6
60,"    Broadcasting and telecommunications",43.2,47.6,47.9,53.5,55.6,59.2
61,"    Information and data processing services",1.4,1.6,1.8,1.9,2.1,2.2
62,Finance and insurance,48.7,54.6,57.2,63.8,71.9,70.4
63,"    Federal Reserve banks",0.2,0.2,0.2,0.2,0.2,0.3
64,"    Credit intermediation and related activities",29.8,33.3,33.7,38.4,43.0,41.6
65,"        Depository credit intermediation",17.7,18.3,19.0,21.7,22.7,21.3
66,"        Other intermediation",1.6,1.9,1.9,2.2,2.6,2.6
67,"        Nondepository credit intermediation",10.5,13.2,12.9,14.5,17.7,17.6
68,"    Securities, commodity contracts, and investments",9.4,11.2,12.8,13.9,14.7,13.0
69,"    Insurance carriers and related activities",9.0,9.4,9.8,10.7,13.2,14.8
70,"        Insurance carriers",8.3,8.7,9.1,9.8,12.1,13.6
71,"        Insurance agencies and brokers and related services",0.7,0.7,0.7,0.9,1.1,1.2
72,"    Funds, trusts, and other financial vehicles",0.4,0.5,0.6,0.7,0.7,0.7
73,Real estate and rental and leasing,247.4,280.0,296.6,307.1,306.2,290.9
74,"    Real estate",238.4,270.0,285.0,294.6,293.7,280.0
75,"    Rental and leasing services and lessors of intangible assets 3",9.0,10.1,11.6,12.4,12.4,10.9
76,"Professional, scientific, and technical services",16.1,18.7,20.9,23.5,25.9,26.9
77,"    Legal services",1.4,1.5,1.4,1.4,1.4,1.9
78,"    Computer systems design and related services",2.6,3.1,3.7,4.1,4.4,4.3
79,"    Miscellaneous professional, scientific, and technical services 4",12.2,14.2,15.8,18.0,20.1,20.6
80,Management of companies and enterprises 5,15.4,15.2,15.5,16.4,17.5,16.7
81,Administrative and waste management services,8.7,9.9,11.9,10.7,11.3,10.8
82,"    Administrative and support services",4.0,4.6,5.1,5.6,6.1,6.1
83,"    Waste management and remediation services",4.7,5.3,6.8,5.1,5.2,4.7
84,Educational services,4.3,4.9,6.5,5.8,6.6,7.2
85,Health and social assistance,27.1,28.7,31.7,35.8,38.9,42.2
86,"    Ambulatory health care services",11.3,12.1,13.2,14.8,15.9,16.9
87,"    Hospitals",13.9,14.5,16.2,18.4,20.3,22.4
88,"    Nursing and residential care facilities",1.1,1.2,1.3,1.5,1.6,1.7
89,"    Social assistance",0.8,0.9,1.0,1.1,1.1,1.1
90,"Arts, entertainment, and recreation",5.5,5.8,6.4,7.1,7.6,8.3
91,"    Performing arts, spectator sports, museums, and related activities",3.8,4.1,4.5,4.9,5.2,5.9
92,"    Amusements, gambling, and recreation industries",1.7,1.7,1.9,2.2,2.4,2.3
93,Accommodation and food services,14.8,15.2,15.1,16.0,18.2,19.7
94,"    Accommodation",6.4,5.9,5.3,5.7,7.3,9.4
95,"    Food services and drinking places",8.4,9.3,9.8,10.3,11.0,10.3
96,"Other services, except government",10.2,11.0,11.7,12.6,12.9,13.0

Legend/Footnotes
1. NAICS crop and animal production.
2. Consists of scenic and sightseeing transportation; transportation support activities; and couriers and messengers.
"3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights."
"4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related services; specialized design services; management, scientific, and technical consulting services; scientific research and development services; advertising and related services; and other professional scientific, and technical services."
5. Consists of bank and other holding companies.
Note. Estimates in this table are based on the North American Industry Classification System (NAICS).
